,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err
64,11923270,K00781.01,Kepler-676 b,CONFIRMED,Done,8/16/18,CANDIDATE,1,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,11.59822233,1.41E-05,-1.41E-05,180.395376,0.000923,-0.000923,2455013.395,0.000923,-0.000923,0,,,,,,0.679,0.187,-0.47,2.5237,0.052,-0.052,,,,2800,46.3,-46.3,0.051287,0.00522,-0.00325,3.14915,3.9658,-0.02771,LS+MCMC,2.65,0.21,-0.29,0.0798,,,88.62,,,396,,,5.82,1.49,-1.63,28.2,11.8,-11.8,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.3872,0.3156,q1_q17_dr25_koi,11.461336,62.376225,71,1,115,1,q1_q17_dr25_tce,1.11E+31,0.6552,Mandel and Agol (2002 ApJ 580 171),,,011/011923/011923270/dv/kplr011923270-20160209194854_dvr.pdf,011/011923/011923270/dv/kplr011923270-001-20160209194854_dvs.pdf,3688,73,-91,4.79,0.05,-0.045,0,0.15,-0.15,0.473,0.037,-0.051,0.503,0.035,-0.053,,,,q1_q17_dr25_stellar,296.22195,50.28722,15.937,17.501,16.14,15.267,14.795,13.474,12.813,12.628,0.178,19.7481495,5.90E-06,50.287475,6.20E-05,0.63,0.2,0.92,0.22,-0.00029,0.00064,0.0006,0.00077,0.059,0.094,-0.03,0.082,0.066,0.095,0.29,0.11,0.628,0.08,0.69,0.086
85,4139816,K00812.02,Kepler-235 d,CONFIRMED,Done,8/16/18,CANDIDATE,1,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,20.06036336,5.84E-05,-5.84E-05,147.46554,0.00241,-0.00241,2454980.466,0.00241,-0.00241,0,,,,,,0.556,0.323,-0.368,3.3203,0.0754,-0.0754,,,,1490,45.1,-45.1,0.036455,0.00592,-0.00125,3.09445,1.93149,-2.34385,LS+MCMC,1.96,0.13,-0.16,0.115,,,89.21,,,361,,,4,0.89,-0.9,40.4,12.6,-12.6,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.4175,0.2365,q1_q17_dr25_koi,7.1802754,27.241827,35.2,4,59,2,q1_q17_dr25_tce,1.11E+31,0.7533,Mandel and Agol (2002 ApJ 580 171),,,004/004139/004139816/dv/kplr004139816-20160209194854_dvr.pdf,004/004139/004139816/dv/kplr004139816-002-20160209194854_dvs.pdf,3950,70,-86,4.754,0.042,-0.031,-0.46,0.15,-0.15,0.493,0.033,-0.04,0.502,0.031,-0.038,,,,q1_q17_dr25_stellar,286.07913,39.27832,15.954,17.187,15.978,15.425,15.103,13.952,13.278,13.116,0.016,19.0719547,9.60E-06,39.27833,0.00013,0.56,0.4,0.04,0.45,-0.00124,0.00065,-0.0001,0.00074,0,0.14,-0.03,0.14,0.03,0.14,-0.18,0.14,-0.15,0.14,0.23,0.14
86,4139816,K00812.03,Kepler-235 e,CONFIRMED,Done,8/16/18,CANDIDATE,1,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,46.1842039,0.000265,-0.000265,165.23729,0.0043,-0.0043,2454998.237,0.0043,-0.0043,0,,,,,,0.013,0.415,-0.013,4.758,0.13,-0.13,,,,1390,56.4,-56.4,0.033974,0.00133,-0.000699,3.99779,0.24735,-1.29928,LS+MCMC,1.83,0.12,-0.15,0.2005,,,89.99,,,273,,,1.32,0.29,-0.3,76.67,4.7,-4.7,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.4175,0.2365,q1_q17_dr25_koi,6.2605453,18.020908,26,4,25,3,q1_q17_dr25_tce,1.11E+31,0.8358,Mandel and Agol (2002 ApJ 580 171),,,004/004139/004139816/dv/kplr004139816-20160209194854_dvr.pdf,004/004139/004139816/dv/kplr004139816-003-20160209194854_dvs.pdf,3950,70,-86,4.754,0.042,-0.031,-0.46,0.15,-0.15,0.493,0.033,-0.04,0.502,0.031,-0.038,,,,q1_q17_dr25_stellar,286.07913,39.27832,15.954,17.187,15.978,15.425,15.103,13.952,13.278,13.116,0.006,19.071943,1.40E-05,39.27801,0.00019,0.08,0.6,-1.12,0.67,-0.00044,0.00082,0.00144,0.00094,-0.07,0.17,0.04,0.22,0.08,0.21,-0.25,0.17,-0.06,0.16,0.26,0.17
88,4139816,K00812.04,Kepler-235 c,CONFIRMED,Done,8/16/18,CANDIDATE,0.994,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,7.82502168,3.89E-05,-3.89E-05,136.54995,0.00436,-0.00436,2454969.55,0.00436,-0.00436,0,,,,,,0.708,0.234,-0.487,2.186,0.12,-0.12,,,,521,36.4,-36.4,0.022312,0.00398,-0.00162,2.54508,4.60217,-2.24097,LS+MCMC,1.2,0.08,-0.1,0.0614,,,87.99,,,494,,,14.05,3.1,-3.19,20.2,9.1,-9.1,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.4175,0.2365,q1_q17_dr25_koi,3.8379083,12.582854,15.9,4,154,4,q1_q17_dr25_tce,1.11E+31,0.251,Mandel and Agol (2002 ApJ 580 171),,,004/004139/004139816/dv/kplr004139816-20160209194854_dvr.pdf,004/004139/004139816/dv/kplr004139816-004-20160209194854_dvs.pdf,3950,70,-86,4.754,0.042,-0.031,-0.46,0.15,-0.15,0.493,0.033,-0.04,0.502,0.031,-0.038,,,,q1_q17_dr25_stellar,286.07913,39.27832,15.954,17.187,15.978,15.425,15.103,13.952,13.278,13.116,0.048,19.07197,2.30E-05,39.27813,0.0003,1.18,0.95,-0.7,1.1,-0.00071,0.00047,0.00031,0.00053,0.31,0.25,-0.45,0.39,0.55,0.35,0.11,0.3,-0.58,0.43,0.59,0.4
105,4139816,K00812.01,Kepler-235 b,CONFIRMED,Done,8/16/18,CANDIDATE,1,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,3.340218842,3.18E-06,-3.18E-06,171.979062,0.00075,-0.00075,2455004.979,0.00075,-0.00075,0,,,,,,0.466,0.002,-0.437,1.9104,0.0318,-0.0318,,,,1630,26.6,-26.6,0.037683,0.00367,-0.000771,3.23586,1.59297,-0.03843,LS+MCMC,2.03,0.13,-0.17,0.0348,,,87.85,,,656,,,43.73,9.67,-9.92,12.4,6.1,-6.1,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.4175,0.2365,q1_q17_dr25_koi,8.777286,58.181076,71.6,4,398,1,q1_q17_dr25_tce,1.11E+31,0.4776,Mandel and Agol (2002 ApJ 580 171),,,004/004139/004139816/dv/kplr004139816-20160209194854_dvr.pdf,004/004139/004139816/dv/kplr004139816-001-20160209194854_dvs.pdf,3950,70,-86,4.754,0.042,-0.031,-0.46,0.15,-0.15,0.493,0.033,-0.04,0.502,0.031,-0.038,,,,q1_q17_dr25_stellar,286.07913,39.27832,15.954,17.187,15.978,15.425,15.103,13.952,13.278,13.116,0.058,19.0719273,4.80E-06,39.278333,6.20E-05,-0.59,0.2,0.05,0.22,0.00053,0.00036,-0.00013,0.00041,0.026,0.086,0.05,0.097,0.06,0.11,-0.15,0.092,-0.039,0.092,0.154,0.092
114,4725681,K00817.01,Kepler-236 c,CONFIRMED,Done,8/16/18,CANDIDATE,1,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,23.96793669,9.25E-05,-9.25E-05,186.22182,0.00305,-0.00305,2455019.222,0.00305,-0.00305,0,,,,,,0.416,0.053,-0.416,3.827,0.113,-0.113,,,,1180,46.1,-46.1,0.03141,0.000611,-0.00162,3.03325,1.25957,-0.51692,LS+MCMC,1.8,0.1,-0.15,0.1322,,,89.47,,,329,,,2.77,0.58,-0.64,45.2,18.8,-18.8,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2575,0.4768,q1_q17_dr25_koi,5.809559,22.27284,27.5,2,43,1,q1_q17_dr25_tce,1.11E+31,0.7252,Mandel and Agol (2002 ApJ 580 171),,,004/004725/004725681/dv/kplr004725681-20160209194854_dvr.pdf,004/004725/004725681/dv/kplr004725681-001-20160209194854_dvs.pdf,3747,75,-83,4.728,0.042,-0.025,0.1,0.15,-0.15,0.524,0.03,-0.044,0.536,0.035,-0.039,,,,q1_q17_dr25_stellar,283.86639,39.898079,15.414,16.862,15.508,14.793,14.419,13.224,12.537,12.312,0.01,18.924412,1.20E-05,39.89827,0.00016,-0.55,0.52,0.67,0.57,0.00068,0.00064,-0.00088,0.00072,-0.23,0.21,0.05,0.2,0.23,0.22,-0.17,0.19,0.32,0.22,0.36,0.24
115,4725681,K00817.02,Kepler-236 b,CONFIRMED,Done,8/16/18,CANDIDATE,0.995,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,8.29561738,2.37E-05,-2.37E-05,135.79284,0.00219,-0.00219,2454968.793,0.00219,-0.00219,0,,,,,,0.888,0.062,-0.612,1.3421,0.0773,-0.0773,,,,824,57.5,-57.5,0.03178,0.00606,-0.00585,4.18931,36.90578,-2.86966,LS+MCMC,1.82,0.1,-0.15,0.0652,,,87.95,,,469,,,11.39,2.4,-2.65,24.8,12.1,-12.1,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2575,0.4768,q1_q17_dr25_koi,3.484774,15.260293,17.9,2,119,2,q1_q17_dr25_tce,1.11E+31,0.8214,Mandel and Agol (2002 ApJ 580 171),,,004/004725/004725681/dv/kplr004725681-20160209194854_dvr.pdf,004/004725/004725681/dv/kplr004725681-002-20160209194854_dvs.pdf,3747,75,-83,4.728,0.042,-0.025,0.1,0.15,-0.15,0.524,0.03,-0.044,0.536,0.035,-0.039,,,,q1_q17_dr25_stellar,283.86639,39.898079,15.414,16.862,15.508,14.793,14.419,13.224,12.537,12.312,0.029,18.924422,1.80E-05,39.89838,0.00024,-0.13,0.76,1.06,0.85,0.00013,0.00067,-0.00096,0.00075,-0.33,0.23,0.5,0.27,0.6,0.31,-0.39,0.26,0.85,0.25,0.94,0.29
116,4913852,K00818.01,Kepler-691 b,CONFIRMED,Done,8/16/18,CANDIDATE,1,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,8.11437482,1.09E-05,-1.09E-05,176.33968,0.00107,-0.00107,2455009.34,0.00107,-0.00107,0,,,,,,0.573,0,-0.468,2.2736,0.0447,-0.0447,,,,1560,32,-32,0.037204,0.00595,-0.00153,3.76716,2.38541,-3.13735,LS+MCMC,2.1,0.14,-0.16,0.0649,,,88.61,,,460,,,10.55,2.46,-2.31,23.58,7.5,-7.5,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2964,0.4262,q1_q17_dr25_koi,6.7459397,45.585175,56.4,1,167,1,q1_q17_dr25_tce,1.11E+31,0.1566,Mandel and Agol (2002 ApJ 580 171),,,004/004913/004913852/dv/kplr004913852-20160209194854_dvr.pdf,004/004913/004913852/dv/kplr004913852-001-20160209194854_dvs.pdf,3692,73,-83,4.753,0.032,-0.039,0.28,0.15,-0.15,0.517,0.035,-0.039,0.553,0.027,-0.044,,,,q1_q17_dr25_stellar,288.81201,40.033401,15.877,17.474,16.091,15.192,14.705,13.405,12.723,12.492,0.024,19.254116,6.60E-06,40.033178,7.40E-05,-0.74,0.27,-0.8,0.27,0.00033,0.00044,0.00054,0.00045,0.08,0.089,-0.018,0.087,0.082,0.089,-0.588,0.097,-0.517,0.095,0.78,0.1
170,6435936,K00854.01,Kepler-705 b,CONFIRMED,Done,8/16/18,CANDIDATE,0.996,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,56.0560754,0.000275,-0.000275,201.16578,0.00329,-0.00329,2455034.166,0.00329,-0.00329,0,,,,,,0.018,0.413,-0.018,4.685,0.132,-0.132,,,,1630,66.7,-66.7,0.036134,0.00147,-0.000983,5.11354,0.40953,-1.64419,LS+MCMC,1.94,0.12,-0.22,0.228,,,89.99,,,233,,,0.69,0.15,-0.19,94.7,7.6,-7.6,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.3107,0.423,q1_q17_dr25_koi,6.1299686,19.2542,27.4,1,24,1,q1_q17_dr25_tce,1.11E+31,0.0766,Mandel and Agol (2002 ApJ 580 171),,,006/006435/006435936/dv/kplr006435936-20160209194854_dvr.pdf,006/006435/006435936/dv/kplr006435936-001-20160209194854_dvs.pdf,3593,71,-86,4.757,0.054,-0.027,0.26,0.15,-0.15,0.491,0.03,-0.055,0.503,0.036,-0.054,,,,q1_q17_dr25_stellar,289.50848,41.812119,15.849,17.455,16.093,15.162,14.719,13.446,12.778,12.536,0.048,19.30056,1.20E-05,41.81202,0.00014,-0.24,0.47,-0.35,0.49,0.00077,0.00086,0.00092,0.00093,0.1,0.24,-0.33,0.17,0.35,0.19,0.19,0.26,-0.57,0.18,0.6,0.21
221,7455287,K00886.01,Kepler-54 b,CONFIRMED,Done,8/16/18,CANDIDATE,1,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,8.01078456,1.06E-05,-1.06E-05,170.20739,0.00106,-0.00106,2455003.207,0.00106,-0.00106,0,,,,,,0.192,0.096,-0.192,2.312,0.0336,-0.0336,,,,1330,29.3,-29.3,0.03347,0.000519,-0.000451,5.73059,0.49536,-0.81818,LS+MCMC,1.72,0.13,-0.2,0.0616,,,89.59,,,453,,,9.9,2.52,-2.88,26.89,2.3,-2.3,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.4064,0.2898,q1_q17_dr25_koi,6.0815673,28.916744,48.5,3,168,1,q1_q17_dr25_tce,1.11E+31,0.6403,Mandel and Agol (2002 ApJ 580 171),,,007/007455/007455287/dv/kplr007455287-20160209194854_dvr.pdf,007/007455/007455287/dv/kplr007455287-001-20160209194854_dvs.pdf,3713,74,-92,4.779,0.063,-0.031,-0.12,0.15,-0.15,0.47,0.036,-0.054,0.484,0.038,-0.053,,,,q1_q17_dr25_stellar,294.77393,43.056301,15.847,17.416,15.964,15.175,14.7,13.508,12.897,12.648,0.708,19.651598,1.10E-05,43.05618,0.00012,0.07,0.44,-0.43,0.42,-8.00E-05,0.00044,0.00018,0.00042,-0.17,0.17,0,0.12,0.17,0.17,-0.15,0.17,-0.26,0.14,0.3,0.17
222,7455287,K00886.02,Kepler-54 c,CONFIRMED,Done,8/16/18,CANDIDATE,1,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,12.07134205,4.21E-05,-4.21E-05,143.45948,0.00287,-0.00287,2454976.459,0.00287,-0.00287,0,,,,,,0.014,0.518,-0.014,4.3224,0.0983,-0.0983,,,,759,26.4,-26.4,0.025158,0.00114,-0.000451,1.35939,0.04476,-0.62623,LS+MCMC,1.29,0.1,-0.15,0.0809,,,89.96,,,395,,,5.74,1.46,-1.67,21.878,0.72,-0.72,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.4064,0.2898,q1_q17_dr25_koi,4.24725,16.535355,31,3,112,2,q1_q17_dr25_tce,1.11E+31,1,Mandel and Agol (2002 ApJ 580 171),,,007/007455/007455287/dv/kplr007455287-20160209194854_dvr.pdf,007/007455/007455287/dv/kplr007455287-002-20160209194854_dvs.pdf,3713,74,-92,4.779,0.063,-0.031,-0.12,0.15,-0.15,0.47,0.036,-0.054,0.484,0.038,-0.053,,,,q1_q17_dr25_stellar,294.77393,43.056301,15.847,17.416,15.964,15.175,14.7,13.508,12.897,12.648,0.151,19.65158,1.90E-05,43.05641,0.0002,-0.65,0.77,0.38,0.73,0.00032,0.00038,-0.00031,0.00037,-0.16,0.3,-0.19,0.46,0.25,0.52,-0.17,0.3,-0.42,0.43,0.45,0.48
223,7455287,K00886.03,Kepler-54 d,CONFIRMED,Done,8/16/18,CANDIDATE,0.986,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,20.99587872,7.66E-05,-7.66E-05,152.31554,0.00305,-0.00305,2454985.316,0.00305,-0.00305,0,,,,,,0.228,0.176,-0.228,2.6333,0.0866,-0.0866,,,,767,42.9,-42.9,0.025412,0.00103,-0.000758,9.69398,2.25918,-2.16781,LS+MCMC,1.3,0.1,-0.15,0.117,,,89.79,,,328,,,2.74,0.7,-0.79,60.9,14.2,-14.2,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.4064,0.2898,q1_q17_dr25_koi,4.265292,12.355694,18.2,3,55,3,q1_q17_dr25_tce,1.11E+31,0.4223,Mandel and Agol (2002 ApJ 580 171),,,007/007455/007455287/dv/kplr007455287-20160209194854_dvr.pdf,007/007455/007455287/dv/kplr007455287-003-20160209194854_dvs.pdf,3713,74,-92,4.779,0.063,-0.031,-0.12,0.15,-0.15,0.47,0.036,-0.054,0.484,0.038,-0.053,,,,q1_q17_dr25_stellar,294.77393,43.056301,15.847,17.416,15.964,15.175,14.7,13.508,12.897,12.648,0.499,19.651617,2.50E-05,43.05629,0.00026,0.81,1,-0.05,0.95,-0.00053,0.00065,-0.00012,0.00062,0.28,0.67,-0.02,0.53,0.28,0.68,0.2,0.7,-0.23,0.57,0.3,0.73
240,7870390,K00898.01,Kepler-83 A b,CONFIRMED,Done,8/16/18,CANDIDATE,1,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,9.7704486,1.46E-05,-1.46E-05,175.71372,0.00118,-0.00118,2455008.714,0.00118,-0.00118,0,,,,,,0.09,0.318,-0.09,2.4517,0.0443,-0.0443,,,,1900,36.6,-36.6,0.040133,0.000867,-0.000474,6.22573,0.47968,-1.57608,LS+MCMC,2.23,0.14,-0.2,0.0714,,,89.84,,,460,,,10.59,2.35,-2.58,31.55,2.4,-2.4,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2887,0.4242,q1_q17_dr25_koi,9.248742,46.716137,58,3,135,1,q1_q17_dr25_tce,1.11E+31,0.5992,Mandel and Agol (2002 ApJ 580 171),,,007/007870/007870390/dv/kplr007870390-20160209194854_dvr.pdf,007/007870/007870390/dv/kplr007870390-001-20160209194854_dvs.pdf,3906,78,-86,4.73,0.052,-0.024,-0.32,0.15,-0.15,0.509,0.032,-0.046,0.508,0.037,-0.033,,,,q1_q17_dr25_stellar,282.23251,43.66563,15.777,17.074,15.764,15.221,14.96,13.737,13.079,12.947,0.134,18.8154934,6.00E-06,43.665553,7.20E-05,-0.31,0.23,-0.28,0.26,0.0002,0.00047,0.0005,0.00055,-0.029,0.091,-0.13,0.13,0.13,0.12,0.029,0.1,-0.08,0.14,0.08,0.15
241,7870390,K00898.02,Kepler-83 A d,CONFIRMED,Done,8/16/18,CANDIDATE,1,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,5.169804269,9.04E-06,-9.04E-06,172.63153,0.00134,-0.00134,2455005.632,0.00134,-0.00134,0,,,,,,0.351,0.067,-0.351,2.153,0.0493,-0.0493,,,,1040,27.7,-27.7,0.029936,0.000487,-0.000731,3.97487,1.02027,-0.86807,LS+MCMC,1.66,0.11,-0.15,0.0467,,,88.87,,,569,,,24.75,5.51,-6.02,17.77,4.6,-4.6,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2887,0.4242,q1_q17_dr25_koi,5.360658,34.09852,41.4,3,256,2,q1_q17_dr25_tce,1.11E+31,0.0683,Mandel and Agol (2002 ApJ 580 171),,,007/007870/007870390/dv/kplr007870390-20160209194854_dvr.pdf,007/007870/007870390/dv/kplr007870390-002-20160209194854_dvs.pdf,3906,78,-86,4.73,0.052,-0.024,-0.32,0.15,-0.15,0.509,0.032,-0.046,0.508,0.037,-0.033,,,,q1_q17_dr25_stellar,282.23251,43.66563,15.777,17.074,15.764,15.221,14.96,13.737,13.079,12.947,0.003,18.8155085,8.20E-06,43.665484,9.80E-05,0.28,0.32,-0.52,0.35,-0.00049,0.00034,0.00052,0.00038,-0.05,0.12,-0.01,0.15,0.05,0.12,0,0.12,0.12,0.15,0.12,0.15
243,7870390,K00898.03,Kepler-83 A c,CONFIRMED,Done,8/16/18,CANDIDATE,1,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,20.09017037,6.63E-05,-6.63E-05,147.97788,0.00275,-0.00275,2454980.978,0.00275,-0.00275,0,,,,,,0.886,0.014,-0.638,4.154,0.154,-0.154,,,,1430,41.4,-41.4,0.040437,0.00249,-0.00528,0.38566,2.69903,-0.19507,LS+MCMC,2.25,0.14,-0.21,0.1154,,,87.49,,,362,,,4.05,0.91,-0.98,20.2,10.1,-10.1,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2887,0.4242,q1_q17_dr25_koi,6.004703,29.21815,36.9,3,63,3,q1_q17_dr25_tce,1.11E+31,0.9929,Mandel and Agol (2002 ApJ 580 171),,,007/007870/007870390/dv/kplr007870390-20160209194854_dvr.pdf,007/007870/007870390/dv/kplr007870390-003-20160209194854_dvs.pdf,3906,78,-86,4.73,0.052,-0.024,-0.32,0.15,-0.15,0.509,0.032,-0.046,0.508,0.037,-0.033,,,,q1_q17_dr25_stellar,282.23251,43.66563,15.777,17.074,15.764,15.221,14.96,13.737,13.079,12.947,0.538,18.8154892,9.00E-06,43.66561,0.00011,-0.47,0.35,-0.09,0.38,0.0004,0.00055,0.00011,0.00061,0.15,0.14,0.06,0.14,0.17,0.14,0.15,0.14,0.11,0.14,0.19,0.14
244,7907423,K00899.01,Kepler-249 c,CONFIRMED,Done,8/16/18,CANDIDATE,0.999,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,7.11373257,1.28E-05,-1.28E-05,174.32351,0.00143,-0.00143,2455007.324,0.00143,-0.00143,0,,,,,,0.334,0.117,-0.334,2.1764,0.0496,-0.0496,,,,808,20.5,-20.5,0.025862,0.000573,-0.000797,5.31573,1.48774,-1.24038,LS+MCMC,1.16,0.13,-0.17,0.0551,,,89.21,,,429,,,8.01,2.66,-2.73,24.23,6.8,-6.8,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.366,0.3573,q1_q17_dr25_koi,5.9298773,35.776676,44.4,3,186,1,q1_q17_dr25_tce,1.11E+31,0.474,Mandel and Agol (2002 ApJ 580 171),,,007/007907/007907423/dv/kplr007907423-20160209194854_dvr.pdf,007/007907/007907423/dv/kplr007907423-001-20160209194854_dvs.pdf,3561,71,-89,4.855,0.055,-0.055,0,0.15,-0.15,0.411,0.045,-0.06,0.44,0.041,-0.076,,,,q1_q17_dr25_stellar,296.98505,43.65852,15.234,16.847,15.445,14.543,14.057,12.836,12.15,11.966,0,19.7990216,7.60E-06,43.658304,8.30E-05,0.69,0.3,-0.78,0.3,-0.00019,0.00024,0.00074,0.00025,-0.06,0.15,-0.17,0.12,0.18,0.13,0.52,0.19,0.09,0.13,0.53,0.18
245,7907423,K00899.02,Kepler-249 b,CONFIRMED,Done,8/16/18,CANDIDATE,0.999,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,3.306551643,6.40E-06,-6.40E-06,134.37211,0.00159,-0.00159,2454967.372,0.00159,-0.00159,0,,,,,,0.001,0.43,-0.001,1.8177,0.0485,-0.0485,,,,509,15.6,-15.6,0.020275,0.000698,-0.00044,4.9442,0.09823,-1.85866,LS+MCMC,0.91,0.1,-0.13,0.0331,,,90,,,554,,,22.19,7.37,-7.57,14.19,0.282,-0.282,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.366,0.3573,q1_q17_dr25_koi,6.330976,30.518122,37.8,3,398,2,q1_q17_dr25_tce,1.11E+31,0.7114,Mandel and Agol (2002 ApJ 580 171),,,007/007907/007907423/dv/kplr007907423-20160209194854_dvr.pdf,007/007907/007907423/dv/kplr007907423-002-20160209194854_dvs.pdf,3561,71,-89,4.855,0.055,-0.055,0,0.15,-0.15,0.411,0.045,-0.06,0.44,0.041,-0.076,,,,q1_q17_dr25_stellar,296.98505,43.65852,15.234,16.847,15.445,14.543,14.057,12.836,12.15,11.966,0.165,19.7990238,8.90E-06,43.658485,9.80E-05,0.77,0.35,-0.13,0.35,-0.00016,0.00018,0.00014,0.00018,0.088,0.089,-0.11,0.15,0.14,0.13,0.73,0.11,0.16,0.11,0.75,0.11
246,7907423,K00899.03,Kepler-249 d,CONFIRMED,Done,8/16/18,CANDIDATE,0.998,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,15.36845737,4.07E-05,-4.07E-05,147.38965,0.00229,-0.00229,2454980.39,0.00229,-0.00229,0,,,,,,0.115,0.32,-0.115,2.4714,0.069,-0.069,,,,756,26.4,-26.4,0.02471,0.000906,-0.0006,9.06854,0.4398,-3.46872,LS+MCMC,1.11,0.12,-0.16,0.0922,,,89.86,,,332,,,2.86,0.95,-0.98,48.38,2.3,-2.3,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.366,0.3573,q1_q17_dr25_koi,6.217123,24.263742,30.9,3,82,3,q1_q17_dr25_tce,1.11E+31,0.781,Mandel and Agol (2002 ApJ 580 171),,,007/007907/007907423/dv/kplr007907423-20160209194854_dvr.pdf,007/007907/007907423/dv/kplr007907423-003-20160209194854_dvs.pdf,3561,71,-89,4.855,0.055,-0.055,0,0.15,-0.15,0.411,0.045,-0.06,0.44,0.041,-0.076,,,,q1_q17_dr25_stellar,296.98505,43.65852,15.234,16.847,15.445,14.543,14.057,12.836,12.15,11.966,0.002,19.799001,1.10E-05,43.65837,0.00012,-0.1,0.42,-0.56,0.42,0.00042,0.00033,0.00055,0.00033,-0.18,0.26,0.25,0.24,0.31,0.2,0.4,0.29,0.51,0.25,0.65,0.31
